 flame name      : DLR H2/CH4/N2-Jet Diffusion Flame [V1]
 institute       : Energie- und Kraftwerkstechnik, TU Darmstadt, Germany
 data            : 2d-LDA measurements
 fuel  mixture   : 33% H2, 22.1% CH4, 44.9% N2
 diameter        : d_nozzle = 0.008 m
 bulk velocity   : U_fuel = 42.15 m/s
 Reynolds number : Re = 15200
 data rows       : 20
 data columns    : 5
 location        : x/d_nozzle = 10
 
     r[m]        <U>[m/s]      <u">[m/s]     <V>[m/s]     <u"v">[m2/s2]
    0.0000       46.4372        3.8404        0.2433        0.8171
    0.0010       45.4456        4.3591        0.3795        3.6199
    0.0020       42.3910        5.3615        0.4449        8.8992
    0.0030       38.4044        6.1300        0.5598       13.4774
    0.0040       34.6358        6.7136        0.6666       15.7562
    0.0050       30.1798        6.6651        0.9743       16.3499
    0.0060       25.6870        6.8133        0.9791       17.4389
    0.0070       21.0993        6.8856        0.7605       19.7722
    0.0080       17.3419        6.7271        0.7925       17.3544
    0.0090       13.5906        6.1379        0.6193       14.8151
    0.0100        7.1115        4.6175       -0.2794        8.2428
    0.0110        4.2940        3.3320       -0.1272        3.6788
    0.0120        2.8971        2.4374        0.0176        2.2556
    0.0130        1.9526        1.7721        0.0480        1.5817
    0.0140        1.2235        1.0603       -0.0954        0.6310
    0.0150        0.8856        0.6684       -0.0568        0.1844
    0.0160        0.6541        0.4118       -0.0213        0.0613
    0.0170        0.5881        0.3227       -0.0411        0.0239
    0.0200        0.5043        0.1926       -0.0281       -0.0006
    0.0250        0.5174        0.1544        0.0184       -0.0075
