 flame name      : DLR H2/CH4/N2-Jet Diffusion Flame [V1]
 institute       : Energie- und Kraftwerkstechnik, TU Darmstadt, Germany
 data            : 2d-LDA measurements
 fuel  mixture   : 33% H2, 22.1% CH4, 44.9% N2
 diameter        : d_nozzle = 0.008 m
 bulk velocity   : U_fuel = 42.15 m/s
 Reynolds number : Re = 15200
 data rows       : 21
 data columns    : 5
 location        : x/d_nozzle = 60
 
     r[m]        <U>[m/s]      <u">[m/s]     <V>[m/s]     <u"v">[m2/s2]
    0.0000       11.4388        2.9660       -0.0177       -0.6009
    0.0025       11.7651        2.7879        0.0231        0.0595
    0.0050       11.4865        2.7990        0.0698        1.2411
    0.0075       11.2709        2.7546        0.1019        0.6166
    0.0100       10.5328        2.9884        0.0891        2.0745
    0.0125        9.5180        3.1028        0.1811        1.7733
    0.0150        9.2448        3.1087        0.2072        2.3856
    0.0175        9.3204        2.9915        0.3168        3.1084
    0.0200        8.7666        2.8836        0.4585        2.1206
    0.0225        7.6159        2.8222        0.3921        2.5653
    0.0250        7.1966        2.7497        0.2237        3.6397
    0.0275        6.6903        2.7081        0.1661        3.2017
    0.0300        6.0759        2.5423        0.1848        2.7066
    0.0325        5.6644        2.4195        0.2799        2.5122
    0.0350        5.3284        2.4073        0.3439        2.1418
    0.0375        4.8851        2.1622        0.2004        1.9259
    0.0400        4.3919        1.8978        0.2569        1.6845
    0.0425        4.4564        2.0543        0.2852        1.9925
    0.0450        3.6902        1.7673        0.2007        2.0696
    0.0500        3.3702        1.7819        0.2265        1.1418
    0.0550        2.9421        1.5299        0.2545        0.9721
