 flame name      : DLR H2/CH4/N2-Jet Diffusion Flame [V1]
 institute       : Energie- und Kraftwerkstechnik, TU Darmstadt, Germany
 data            : 2d-LDA measurements
 fuel  mixture   : 33% H2, 22.1% CH4, 44.9% N2
 diameter        : d_nozzle = 0.008 m
 bulk velocity   : U_fuel = 42.15 m/s
 Reynolds number : Re = 15200
 data rows       : 23
 data columns    : 5
 location        : x/d_nozzle = 80
 
     r[m]        <U>[m/s]      <u">[m/s]     <V>[m/s]     <u"v">[m2/s2]
    0.0000        8.3104        2.1663        0.1241       -0.6820
    0.0025        7.9147        2.2597       -0.1064       -0.0044
    0.0050        8.0597        2.0987       -0.0751        0.2861
    0.0075        7.9627        2.1372        0.1131        0.4006
    0.0100        7.5202        2.1822        0.0010        0.5911
    0.0125        7.4372        2.3107        0.0283        1.2530
    0.0150        7.3662        2.0545        0.0759        1.4173
    0.0175        6.9653        2.1625        0.2033        1.0621
    0.0200        6.8131        2.2635        0.2043        1.0705
    0.0225        6.3383        2.1184        0.1456        1.0188
    0.0250        6.2389        2.1300        0.0451        2.6801
    0.0275        5.5928        2.0704        0.1126        1.6354
    0.0300        5.0897        1.9728        0.0921        0.9133
    0.0325        4.8769        2.1401       -0.0032        1.4616
    0.0350        4.6032        1.8545        0.0360        1.3768
    0.0375        4.5173        1.7507        0.0382        1.2328
    0.0400        4.1773        1.8694        0.1443        1.3418
    0.0425        4.1408        1.7508        0.1456        1.7583
    0.0450        3.9045        1.7570        0.1488        1.2891
    0.0500        3.8567        1.4993        0.1110        1.0508
    0.0550        3.2947        1.4446        0.1784        0.6943
    0.0600        2.9014        1.2797        0.0559        0.9343
    0.0700        2.6502        1.3190        0.1613        1.0853
