# x/d=        10                  
# 1_r/d 2_Z 3_Zrms       
#
   -2.88 0.0050  0.0028     
   -2.62 0.0053  0.0028     
   -2.38 0.0056  0.0031     
   -2.12 0.0094  0.0092     
   -1.88 0.0237  0.0264     
   -1.62 0.0578  0.0476     
   -1.50 0.1001  0.0702     
   -1.38 0.1677  0.0975     
   -1.25 0.2297  0.1154     
   -1.12 0.3129  0.1238     
   -1.00 0.3945  0.1336     
   -0.88 0.4840  0.1315     
   -0.62 0.6486  0.1206     
   -0.38 0.7744  0.1037     
   -0.12 0.8657  0.0746     
    0.12 0.8657  0.0746     
    0.38 0.7744  0.1037     
    0.62 0.6486  0.1206     
    0.88 0.4840  0.1315     
    1.00 0.3945  0.1336     
    1.12 0.3129  0.1238     
    1.25 0.2297  0.1154     
    1.38 0.1677  0.0975     
    1.50 0.1001  0.0702     
    1.62 0.0578  0.0476     
    1.88 0.0237  0.0264     
    2.12 0.0094  0.0092     
    2.38 0.0056  0.0031     
    2.62 0.0053  0.0028     
    2.88 0.0050  0.0028     
