# x/d=        40              
# 1_r/d 2_Z 3_Zrms       
#
  -10.00 0.0048  0.0028 
   -9.38 0.0051  0.0028 
   -8.75 0.0048  0.0028 
   -8.12 0.0069  0.0063 
   -7.50 0.0113  0.0153 
   -6.88 0.0146  0.0170 
   -6.25 0.0228  0.0244 
   -5.62 0.0351  0.0319 
   -5.00 0.0494  0.0408 
   -4.38 0.0652  0.0461 
   -3.75 0.0904  0.0532 
   -3.12 0.1305  0.0671 
   -2.50 0.1757  0.0761 
   -1.88 0.2240  0.0797 
   -1.25 0.2662  0.0798 
   -0.62 0.3034  0.0755 
    0.00 0.3235  0.0676 
    0.62 0.3034  0.0755 
    1.25 0.2662  0.0798 
    1.88 0.2240  0.0797 
    2.50 0.1757  0.0761 
    3.12 0.1305  0.0671 
    3.75 0.0904  0.0532 
    4.38 0.0652  0.0461 
    5.00 0.0494  0.0408 
    5.62 0.0351  0.0319 
    6.25 0.0228  0.0244 
    6.88 0.0146  0.0170 
    7.50 0.0113  0.0153 
    8.12 0.0069  0.0063 
    8.75 0.0048  0.0028 
    9.38 0.0051  0.0028 
   10.00 0.0048  0.0028 
