# x/d=        20                 
# 1_r/d 2_Z 3_Zrms       
#
  -5.75 0.0047  0.0027     
  -5.12 0.0049  0.0028     
  -4.50 0.0050  0.0031     
  -3.88 0.0110  0.0143     
  -3.56 0.0181  0.0233     
  -3.25 0.0284  0.0284     
  -2.94 0.0421  0.0388     
  -2.62 0.0665  0.0505     
  -2.31 0.1080  0.0759     
  -2.00 0.1652  0.0914     
  -1.69 0.2460  0.1149     
  -1.38 0.3401  0.1256     
  -1.06 0.4252  0.1223     
  -0.75 0.5176  0.1120     
  -0.44 0.5824  0.0929     
  -0.12 0.6184  0.0809     
   0.12 0.6184  0.0809     
   0.44 0.5824  0.0929     
   0.75 0.5176  0.1120     
   1.06 0.4252  0.1223     
   1.38 0.3401  0.1256     
   1.69 0.2460  0.1149     
   2.00 0.1652  0.0914     
   2.31 0.1080  0.0759     
   2.62 0.0665  0.0505     
   2.94 0.0421  0.0388     
   3.25 0.0284  0.0284     
   3.56 0.0181  0.0233     
   3.88 0.0110  0.0143     
   4.50 0.0050  0.0031     
   5.12 0.0049  0.0028     
   5.75 0.0047  0.0027     
